trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
428,False,"{'a': 0.99, 'e': 0.013547628772652897}",20,5,26.47021826490331,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.99, 'e': 0.013412152484926368}",25,13,25.682608785316223,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.99, 'e': 0.013278030960077104}",25,10,27.25004512772972,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.99, 'e': 0.013145250650476333}",20,6,19.006752734319413,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.99, 'e': 0.01301379814397157}",25,0,37.43207706808861,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
433,False,"{'a': 0.99, 'e': 0.012883660162531854}",20,14,11.214917717897345,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.99, 'e': 0.012754823560906535}",25,20,10.025260322058125,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.99, 'e': 0.01262727532529747}",20,13,10.426393823882549,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.99, 'e': 0.012501002572044496}",25,8,30.355138901359826,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.99, 'e': 0.01237599254632405}",20,11,6.692508210028434,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.99, 'e': 0.012252232620860809}",20,8,24.272113205057515,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.99, 'e': 0.012129710294652202}",30,18,22.22041104695717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.99, 'e': 0.01200841319170568}",25,10,30.453205947033734,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.99, 'e': 0.011888329059788622}",20,1,27.388188793596786,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.99, 'e': 0.011769445769190735}",20,10,19.772868517359978,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.99, 'e': 0.011651751311498829}",20,14,11.142921663680982,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
